YYYYMM,Emissions [MMT]
1980-10-01,16.401
1980-11-01,13.912
1980-12-01,13.179
1981-01-01,12.598
1981-02-01,12.182
1981-03-01,14.87
1981-04-01,15.71
1981-05-01,17.196
1981-06-01,20.699
1981-07-01,22.324
1981-08-01,21.177
1981-09-01,17.651
1981-10-01,16.399
1981-11-01,14.069
1981-12-01,13.019
1982-01-01,12.952
1982-02-01,11.988
1982-03-01,13.431
1982-04-01,13.42
1982-05-01,14.046
1982-06-01,16.098
1982-07-01,19.221
1982-08-01,19.688
1982-09-01,15.975
1982-10-01,14.866
1982-11-01,12.335
1982-12-01,11.694
1983-01-01,11.3
1983-02-01,9.604
1983-03-01,11.284
1983-04-01,11.012
1983-05-01,11.833
1983-06-01,13.424
1983-07-01,17.026
1983-08-01,19.05
1983-09-01,16.144
1983-10-01,13.591
1983-11-01,11.578
1983-12-01,11.801
1984-01-01,11.738
1984-02-01,10.227
1984-03-01,11.255
1984-04-01,12.015
1984-05-01,14.442
1984-06-01,16.231
1984-07-01,19.025
1984-08-01,19.063
1984-09-01,15.825
1984-10-01,14.694
1984-11-01,13.317
1984-12-01,11.83
1985-01-01,12.381
1985-02-01,11.106
1985-03-01,11.36
1985-04-01,12.773
1985-05-01,12.873
1985-06-01,15.369
1985-07-01,18.316
1985-08-01,19.303
1985-09-01,14.994
1985-10-01,13.588
1985-11-01,12.57
1985-12-01,11.505
1986-01-01,10.037
1986-02-01,8.565
1986-03-01,9.247
1986-04-01,10.802
1986-05-01,12.581
1986-06-01,14.153
1986-07-01,16.366
1986-08-01,15.016
1986-09-01,13.406
1986-10-01,11.775
1986-11-01,10.149
1986-12-01,9.519
1987-01-01,10.061
1987-02-01,8.628
1987-03-01,10.397
1987-04-01,11.237
1987-05-01,13.2
1987-06-01,15.419
1987-07-01,17.342
1987-08-01,18.4
1987-09-01,14.572
1987-10-01,12.95
1987-11-01,11.79
1987-12-01,10.664
1988-01-01,9.088
1988-02-01,9.202
1988-03-01,11.065
1988-04-01,10.811
1988-05-01,13.006
1988-06-01,15.197
1988-07-01,17.776
1988-08-01,18.655
1988-09-01,12.613
1988-10-01,9.838
1988-11-01,8.15
1988-12-01,7.448
1989-01-01,8.89
1989-02-01,10.42
1989-03-01,12.758
1989-04-01,14.187
1989-05-01,15.128
1989-06-01,15.696
1989-07-01,19.29
1989-08-01,18.679
1989-09-01,16.154
1989-10-01,15.327
1989-11-01,11.41
1989-12-01,10.349
1990-01-01,9.182
1990-02-01,8.295
1990-03-01,11.59
1990-04-01,12.53
1990-05-01,15.351
1990-06-01,18.698
1990-07-01,20.507
1990-08-01,21.59
1990-09-01,18.936
1990-10-01,16.165
1990-11-01,11.632
1990-12-01,11.017
1991-01-01,11.135
1991-02-01,9.406
1991-03-01,12.394
1991-04-01,13.853
1991-05-01,16.015
1991-06-01,16.708
1991-07-01,21.173
1991-08-01,21.028
1991-09-01,16.879
1991-10-01,16.907
1991-11-01,12.719
1991-12-01,10.925
1992-01-01,11.401
1992-02-01,11.481
1992-03-01,13.993
1992-04-01,15.434
1992-05-01,15.916
1992-06-01,17.908
1992-07-01,22.47
1992-08-01,20.368
1992-09-01,18.422
1992-10-01,14.309
1992-11-01,12.745
1992-12-01,11.833
1993-01-01,11.506
1993-02-01,11.339
1993-03-01,13.567
1993-04-01,12.165
1993-05-01,11.674
1993-06-01,17.813
1993-07-01,23.371
1993-08-01,24.98
1993-09-01,18.068
1993-10-01,16.399
1993-11-01,14.571
1993-12-01,12.21
1994-01-01,12.013
1994-02-01,10.546
1994-03-01,13.143
1994-04-01,14.407
1994-05-01,15.25
1994-06-01,22.498
1994-07-01,25.59
1994-08-01,26.995
1994-09-01,20.897
1994-10-01,18.636
1994-11-01,16.33
1994-12-01,14.683
1995-01-01,14.188
1995-02-01,12.021
1995-03-01,17.507
1995-04-01,16.36
1995-05-01,18.398
1995-06-01,21.198
1995-07-01,29.035
1995-08-01,33.423
1995-09-01,22.566
1995-10-01,17.101
1995-11-01,14.126
1995-12-01,12.313
1996-01-01,12.634
1996-02-01,10.245
1996-03-01,11.708
1996-04-01,12.714
1996-05-01,19.835
1996-06-01,22.45
1996-07-01,26.808
1996-08-01,27.526
1996-09-01,21.35
1996-10-01,16.968
1996-11-01,12.734
1996-12-01,9.932
1997-01-01,10.256
1997-02-01,10.564
1997-03-01,13.984
1997-04-01,14.261
1997-05-01,17.055
1997-06-01,21.941
1997-07-01,31.656
1997-08-01,28.824
1997-09-01,24.544
1997-10-01,18.012
1997-11-01,13.245
1997-12-01,14.528
1998-01-01,13.039
1998-02-01,10.192
1998-03-01,14.795
1998-04-01,14.479
1998-05-01,22.102
1998-06-01,28.844
1998-07-01,34.204
1998-08-01,34.788
1998-09-01,29.001
1998-10-01,18.717
1998-11-01,13.503
1998-12-01,14.352
1999-01-01,14.844
1999-02-01,12.626
1999-03-01,17.173
1999-04-01,21.273
1999-05-01,22.68
1999-06-01,26.964
1999-07-01,36.347
1999-08-01,36.139
1999-09-01,23.362
1999-10-01,19.917
1999-11-01,14.218
1999-12-01,14.514
2000-01-01,17.571
2000-02-01,15.405
2000-03-01,19.158
2000-04-01,19.809
2000-05-01,28.502
2000-06-01,28.36
2000-07-01,34.422
2000-08-01,37.859
2000-09-01,26.159
2000-10-01,19.687
2000-11-01,16.636
2000-12-01,17.25
2001-01-01,18.459
2001-02-01,16.972
2001-03-01,19.676
2001-04-01,20.849
2001-05-01,23.515
2001-06-01,26.712
2001-07-01,34.358
2001-08-01,37.225
2001-09-01,27.639
2001-10-01,25.251
2001-11-01,18.988
2001-12-01,19.894
2002-01-01,20.588
2002-02-01,18.58
2002-03-01,21.932
2002-04-01,21.825
2002-05-01,22.122
2002-06-01,29.722
2002-07-01,39.565
2002-08-01,38.694
2002-09-01,30.667
2002-10-01,23.843
2002-11-01,18.961
2002-12-01,19.432
2003-01-01,20.748
2003-02-01,18.157
2003-03-01,19.593
2003-04-01,19.097
2003-05-01,21.338
2003-06-01,23.597
2003-07-01,34.14
2003-08-01,37.02
2003-09-01,25.382
2003-10-01,22.15
2003-11-01,18.858
2003-12-01,18.205
2004-01-01,19.642
2004-02-01,20.297
2004-03-01,20.383
2004-04-01,21.145
2004-05-01,26.324
2004-06-01,27.659
2004-07-01,34.073
2004-08-01,33.264
2004-09-01,28.737
2004-10-01,23.87
2004-11-01,20.425
2004-12-01,21.02
2005-01-01,20.948
2005-02-01,17.984
2005-03-01,21.007
2005-04-01,21.223
2005-05-01,23.001
2005-06-01,32.282
2005-07-01,42.233
2005-08-01,43.005
2005-09-01,31.368
2005-10-01,23.6
2005-11-01,20.288
2005-12-01,22.096
2006-01-01,17.316
2006-02-01,18.825
2006-03-01,22.129
2006-04-01,23.163
2006-05-01,27.433
2006-06-01,34.204
2006-07-01,46.941
2006-08-01,45.669
2006-09-01,29.784
2006-10-01,28.661
2006-11-01,21.556
2006-12-01,22.528
2007-01-01,24.354
2007-02-01,23.131
2007-03-01,22.6
2007-04-01,24.617
2007-05-01,27.554
2007-06-01,34.118
2007-07-01,41.3
2007-08-01,52.659
2007-09-01,37.094
2007-10-01,32.8
2007-11-01,24.335
2007-12-01,27.056
2008-01-01,28.901
2008-02-01,23.864
2008-03-01,25.045
2008-04-01,25.512
2008-05-01,25.814
2008-06-01,36.133
2008-07-01,42.466
2008-08-01,41.429
2008-09-01,32.722
2008-10-01,29.609
2008-11-01,24.86
2008-12-01,25.897
2009-01-01,26.449
2009-02-01,24.603
2009-03-01,27.097
2009-04-01,24.465
2009-05-01,27.918
2009-06-01,34.82
2009-07-01,42.156
2009-08-01,45.538
2009-09-01,37.387
2009-10-01,29.099
2009-11-01,24.776
2009-12-01,28.204
2010-01-01,29.537
2010-02-01,25.952
2010-03-01,24.705
2010-04-01,25.479
2010-05-01,30.234
2010-06-01,38.131
2010-07-01,48.489
2010-08-01,50.968
2010-09-01,37.642
2010-10-01,30.811
2010-11-01,26.843
2010-12-01,30.528
2011-01-01,29.188
2011-02-01,26.152
2011-03-01,26.043
2011-04-01,28.164
2011-05-01,30.881
2011-06-01,37.765
2011-07-01,50.694
2011-08-01,49.767
2011-09-01,36.941
2011-10-01,31.04
2011-11-01,29.308
2011-12-01,33.18
2012-01-01,35.11
2012-02-01,34.877
2012-03-01,36.456
2012-04-01,38.626
2012-05-01,43.922
2012-06-01,47.572
2012-07-01,58.49
2012-08-01,54.282
2012-09-01,43.384
2012-10-01,36.176
2012-11-01,31.355
2012-12-01,32.434
2013-01-01,34.294
2013-02-01,30.857
2013-03-01,32.778
2013-04-01,30.64
2013-05-01,33.337
2013-06-01,39.974
2013-07-01,49.416
2013-08-01,48.842
2013-09-01,40.751
2013-10-01,34.547
2013-11-01,32.614
2013-12-01,36.308
2014-01-01,36.133
2014-02-01,30.036
2014-03-01,30.554
2014-04-01,29.885
2014-05-01,35.211
2014-06-01,39.228
2014-07-01,45.901
2014-08-01,48.871
2014-09-01,41.961
2014-10-01,38.286
2014-11-01,32.703
2014-12-01,34.8
2015-01-01,39.155
2015-02-01,35.668
2015-03-01,38.872
2015-04-01,36.61
2015-05-01,40.44
2015-06-01,48.92
2015-07-01,57.712
2015-08-01,56.662
2015-09-01,49.384
2015-10-01,43.68
2015-11-01,40.394
2015-12-01,42.27
2016-01-01,42.566
2016-02-01,37.918
2016-03-01,40.525
2016-04-01,39.763
2016-05-01,44.21
2016-06-01,53.567
2016-07-01,62.881
